["Melinda", "Ron", 2775]
["Shakita", "Dominic", 2328.3]
["Emil", "Flossie", 2288.95]
["Wesley", "Bessie", 2156.17]
["Carmen", "Alberto", 2125.42]
["Cecelia", "Tim", 2071.51]
["Marisol", "Benjamin", 2005.48]
["Brittany", "Darlene", 1895.33]
["Elisa", "Janie", 1878.15]
["Russell", "Sanford", 1872.78]
["Erica", "Jana", 1850.61]
["Sarina", "Terese", 1826.67]
["Alberta", "Corey", 1792.83]
["Le", "Georgetta", 1789]
["Sterling", "Syble", 1755.45]
["Jennie", "Rosemary", 1705.31]
["Jeanne", "Matthew", 1703.53]
["Tina", "Kristen", 1680.77]
["Lynette", "Petra", 1672.7]
["Marianne", "Lewis", 1662.73]
["Cameron", "Luz", 1653.89]
["Rita", "Carlos", 1647.84]
["Margit", "Antonia", 1643.88]
["Shawna", "Toni", 1627.89]
["Kristofer", "Portia", 1627.17]
["Arturo", "Viola", 1613]
["Troy", "Chae", 1573.62]
["Lena", "Mary", 1567.01]
["Jocelyn", "Bette", 1541.23]
["Marth", "Olivia", 1517.27]
["Sally", "Maribel", 1508.37]
["Elda", "Georgia", 1503.47]
["Bernice", "Annabell", 1501.43]
["Phillip", "Nila", 1495.61]
["Teddy", "Alexander", 1494.98]
["Maude", "Leonardo", 1493.33]
["Harvey", "Earlene", 1466.63]
["Katlyn", "Nicole", 1457.78]
["Kristopher", "Katrina", 1450.57]
["Arie", "Reginald", 1440.36]
["Alicia", "Georgie", 1421.3]
["Vincent", "Regina", 1421.1]
["Cora", "Marilyn", 1420.2]
["Hugh", "Kimberly", 1411.69]
["Carolina", "Marilynn", 1396.3]
["Angie", "Bryant", 1361.91]
["Noma", "Sheryl", 1357.98]
["Daisey", "Rosa", 1351.19]
["Martin", "Johnnie", 1333.01]
["Jerome", "Lila", 1327.35]
["Lucio", "Malka", 1321.57]
["Howard", "Erwin", 1320.94]
["Pauletta", "Georgene", 1317.7]
["Parthenia", "Antoinette", 1276.15]
["Don", "Tamika", 1274.32]
["Shelly", "Erin", 1274.2]
["Fabiola", "Derrick", 1267.31]
["Hildred", "Timothy", 1247.64]
["Bernard", "Sha", 1242.2]
["Agripina", "Sam", 1231.97]
["Robyn", "Geraldo", 1229.98]
["Lucie", "Willie", 1227.19]
["Lindsy", "Darcy", 1224.63]
["Emma", "Irene", 1222.36]
["Rafael", "Justin", 1213.11]
["Cathleen", "Roberto", 1211.78]
["Marshall", "Theresa", 1207.91]
["Gloria", "Letha", 1204.33]
["Sharon", "Alissa", 1187.63]
["Pete", "Margie", 1155.81]
["Lynda", "Pam", 1151.76]
["Natalie", "Sue", 1141.79]
["Heidi", "Sade", 1133.52]
["Alvin", "Bong", 1129.09]
["Leigh", "Marcia", 1128.28]
["Catherine", "Geraldine", 1127.17]
["Paris", "Kay", 1126.59]
["Jewel", "Sammy", 1124.19]
["Millie", "Iris", 1120.83]
["Tania", "Katherine", 1119.51]
["Armando", "Amelia", 1118.25]
["Lee", "Nina", 1116.79]
["Stanley", "Beatrice", 1116.39]
["Shane", "Rosaura", 1108.65]
["Tanesha", "Jenna", 1104.89]
["Steve", "Lynell", 1101.95]
["Gavin", "Nora", 1093.59]
["Steven", "Elsie", 1071.91]
["Claudette", "Gerry", 1071.02]
["Marguerite", "Scott", 1062.81]
["Rachal", "Margret", 1060.14]
["Rico", "Griselda", 1059.06]
["Heather", "Lucy", 1051.4]
["Dessie", "Roosevelt", 1051.19]
["Guadalupe", "Rocio", 1039.06]
["Freddy", "Juan", 1036.26]
["Clarence", "Derek", 1026.33]
["Ramon", "Paige", 1016.49]
["Wendy", "Glen", 1012.03]
["Barry", "Hayden", 998.58]
["Alexandria", "Frankie", 997.89]
["Alisha", "Shela", 991.03]
["Myron", "Luis", 979.98]
["Polly", "Ollie", 971.88]
["Elsa", "Caroline", 965.36]
["Estelle", "Billie", 964.92]
["Wilhelmina", "Angelia", 953.66]
["Penny", "Samantha", 947.68]
["Bertha", "Matt", 946.19]
["Lowell", "Erlene", 945.26]
["Ilene", "Abbie", 937.36]
["Kathy", "Madison", 934.82]
["Elly", "Ashlee", 928.74]
["Gregg", "Vicky", 924.62]
["Emeline", "Latrice", 924.06]
["Heath", "Horace", 923.84]
