["Melinda", "Ron", 2775.01]
["Shakita", "Dominic", 2328.31]
["Emil", "Flossie", 2288.95]
["Wesley", "Bessie", 2156.18]
["Carmen", "Alberto", 2125.42]
["Cecelia", "Tim", 2071.52]
["Marisol", "Benjamin", 2005.49]
["Brittany", "Darlene", 1895.33]
["Elisa", "Janie", 1878.15]
["Russell", "Sanford", 1872.79]
["Erica", "Jana", 1850.62]
["Sarina", "Terese", 1826.68]
["Alberta", "Corey", 1792.83]
["Le", "Georgetta", 1789]
["Sterling", "Syble", 1755.46]
["Jennie", "Rosemary", 1705.31]
["Jeanne", "Matthew", 1703.54]
["Tina", "Kristen", 1680.78]
["Lynette", "Petra", 1672.71]
["Marianne", "Lewis", 1662.74]
["Cameron", "Luz", 1653.89]
["Rita", "Carlos", 1647.85]
["Margit", "Antonia", 1643.89]
["Shawna", "Toni", 1627.89]
["Kristofer", "Portia", 1627.18]
["Arturo", "Viola", 1613.01]
["Troy", "Chae", 1573.62]
["Lena", "Mary", 1567.02]
["Jocelyn", "Bette", 1541.23]
["Marth", "Olivia", 1517.28]
["Sally", "Maribel", 1508.37]
["Elda", "Georgia", 1503.48]
["Bernice", "Annabell", 1501.43]
["Phillip", "Nila", 1495.61]
["Teddy", "Alexander", 1494.99]
["Maude", "Leonardo", 1493.33]
["Harvey", "Earlene", 1466.63]
["Katlyn", "Nicole", 1457.79]
["Kristopher", "Katrina", 1450.58]
["Arie", "Reginald", 1440.37]
["Alicia", "Georgie", 1421.3]
["Vincent", "Regina", 1421.1]
["Cora", "Marilyn", 1420.2]
["Hugh", "Kimberly", 1411.7]
["Carolina", "Marilynn", 1396.31]
["Angie", "Bryant", 1361.92]
["Noma", "Sheryl", 1357.99]
["Daisey", "Rosa", 1351.19]
["Martin", "Johnnie", 1333.01]
["Jerome", "Lila", 1327.36]
["Lucio", "Malka", 1321.57]
["Howard", "Erwin", 1320.94]
["Pauletta", "Georgene", 1317.71]
["Parthenia", "Antoinette", 1276.16]
["Don", "Tamika", 1274.32]
["Shelly", "Erin", 1274.2]
["Fabiola", "Derrick", 1267.31]
["Hildred", "Timothy", 1247.65]
["Bernard", "Sha", 1242.21]
["Agripina", "Sam", 1231.98]
["Robyn", "Geraldo", 1229.99]
["Lucie", "Willie", 1227.2]
["Lindsy", "Darcy", 1224.64]
["Emma", "Irene", 1222.37]
["Rafael", "Justin", 1213.12]
["Cathleen", "Roberto", 1211.78]
["Marshall", "Theresa", 1207.91]
["Gloria", "Letha", 1204.34]
["Sharon", "Alissa", 1187.64]
["Pete", "Margie", 1155.81]
["Lynda", "Pam", 1151.76]
["Natalie", "Sue", 1141.79]
["Heidi", "Sade", 1133.52]
["Alvin", "Bong", 1129.09]
["Leigh", "Marcia", 1128.29]
["Catherine", "Geraldine", 1127.17]
["Paris", "Kay", 1126.59]
["Jewel", "Sammy", 1124.19]
["Millie", "Iris", 1120.83]
["Tania", "Katherine", 1119.52]
["Armando", "Amelia", 1118.25]
["Lee", "Nina", 1116.8]
["Stanley", "Beatrice", 1116.39]
["Shane", "Rosaura", 1108.66]
["Tanesha", "Jenna", 1104.9]
["Steve", "Lynell", 1101.96]
["Gavin", "Nora", 1093.6]
["Steven", "Elsie", 1071.91]
["Claudette", "Gerry", 1071.02]
["Marguerite", "Scott", 1062.82]
["Rachal", "Margret", 1060.15]
["Rico", "Griselda", 1059.06]
["Heather", "Lucy", 1051.4]
["Dessie", "Roosevelt", 1051.2]
["Guadalupe", "Rocio", 1039.06]
["Freddy", "Juan", 1036.26]
